"","country","total_arrivals","total_male_arrivals","total_female_arrivals"
"1","SGP",34496707,19735426,14761281
"2","IDN",8477856,4091695,4386161
"3","THA",5647418,3285770,2361648
"4","CHN",4008013,1928203,2079810
"5","BRN",2588744,1409405,1179339
"6","IND",2345086,1606732,738354
"7","BGD",1165402,1094288,71114
"8","PHL",1147669,417373,730296
"9","KOR",1057434,534237,523197
"10","AUS",889069,510076,378993
"11","VNM",878361,288305,590056
"12","GBR",780219,470507,309712
"13","JPN",739722,466081,273641
"14","TWN",639102,301859,337243
"15","USA",607643,355539,252104
"16","NPL",449691,423456,26235
"17","MMR",360931,191030,169901
"18","PAK",355369,301501,53868
"19","DEU",339408,204827,134581
"20","FRA",335976,197461,138515
"21","RUS",281242,142179,139063
"22","KHM",210154,106206,103948
"23","CAN",192117,109803,82314
"24","NLD",174610,103829,70781
"25","SAU",151906,84070,67836
"26","LKA",138706,88496,50210
"27","ITA",123871,78662,45209
"28","NZL",113255,66803,46452
"29","ESP",105701,59600,46101
"30","MDV",80329,41887,38442
"31","POL",61737,32725,29012
"32","EGY",61353,41949,19404
"33","IRN",61065,32851,28214
"34","CHE",60473,35967,24506
"35","LAO",55101,13740,41361
"36","SWE",53494,31335,22159
"37","IRL",51700,30982,20718
"38","TUR",50414,34652,15762
"39","DNK",47641,28599,19042
"40","BEL",47579,28860,18719
"41","ZAF",45266,25596,19670
"42","YEM",43725,30377,13348
"43","MUS",41679,21214,20465
"44","OMN",39478,22830,16648
"45","KAZ",39276,16197,23079
"46","UZB",36853,22413,14440
"47","UKR",36714,18595,18119
"48","BRA",35881,20305,15576
"49","IRQ",34226,22954,11272
"50","AUT",33865,21168,12697
"51","SDN",30589,17806,12783
"52","NOR",30007,17909,12098
"53","MAR",28552,15016,13536
"54","FIN",28014,15835,12179
"55","PRT",27939,15935,12004
"56","HKG",27640,12760,14880
"57","ROU",25980,13884,12096
"58","CZE",25563,14472,11091
"59","JOR",24557,15137,9420
"60","KWT",22762,12254,10508
"61","MEX",22342,11478,10864
"62","DZA",22332,14055,8277
"63","HUN",21586,11769,9817
"64","SYR",20529,13097,7432
"65","TUN",18392,9460,8932
"66","MNG",16414,6896,9518
"67","ARG",16051,8615,7436
"68","NGA",15552,12450,3102
"69","ARE",15461,9084,6377
"70","XXX",14334,8591,5743
"71","LTU",14268,7023,7245
"72","SVK",14033,7696,6337
"73","KEN",13558,6815,6743
"74","LBY",11524,8164,3360
"75","BLR",11138,5194,5944
"76","PSE",10249,7219,3030
"77","BGR",9556,5330,4226
"78","GRC",9507,6648,2859
"79","KGZ",8974,4488,4486
"80","CHL",8897,4548,4349
"81","EST",8255,4262,3993
"82","LBN",8141,5216,2925
"83","SOM",7257,4475,2782
"84","HRV",7211,4915,2296
"85","LVA",6777,3325,3452
"86","TLS",6745,3957,2788
"87","COL",6282,3265,3017
"88","TZA",5973,3087,2886
"89","BHR",5914,3288,2626
"90","SVN",5490,3019,2471
"91","QAT",5388,3249,2139
"92","TKM",5375,2974,2401
"93","FJI",5371,2762,2609
"94","PER",4860,2529,2331
"95","ZWE",4687,2233,2454
"96","UGA",4255,1949,2306
"97","AZE",3931,2155,1776
"98","TJK",3545,2474,1071
"99","VUT",2970,2394,576
"100","SRB",2946,1620,1326
"101","VEN",2871,1608,1263
"102","URY",2769,1284,1485
"103","AFG",2750,2068,682
"104","SYC",2595,1074,1521
"105","GHA",2582,1763,819
"106","PNG",2519,1446,1073
"107","CYP",2345,1495,850
"108","KNA",2330,1695,635
"109","ECU",2318,1145,1173
"110","CRI",2269,1300,969
"111","ZMB",2169,1152,1017
"112","MDG",2161,936,1225
"113","ARM",2158,915,1243
"114","BIH",2041,1208,833
"115","GEO",1936,1227,709
"116","LUX",1870,1118,752
"117","MLT",1829,1125,704
"118","SEN",1799,1285,514
"119","GIN",1748,1279,469
"120","BTN",1730,1118,612
"121","ALB",1549,968,581
"122","ISL",1437,785,652
"123","DMA",1366,1054,312
"124","MKD",1332,724,608
"125","ETH",1201,770,431
"126","TTO",1158,668,490
"127","MDA",1083,547,536
"128","BOL",1050,575,475
"129","SSD",972,639,333
"130","MOZ",956,510,446
"131","PAN",947,460,487
"132","CUB",856,495,361
"133","CMR",844,579,265
"134","GMB",844,613,231
"135","GTM",827,462,365
"136","TCD",770,607,163
"137","MRT",744,604,140
"138","SLE",739,487,252
"139","JAM",717,298,419
"140","DOM",712,367,345
"141","CIV",685,482,203
"142","MWI",662,369,293
"143","NAM",616,296,320
"144","SUR",616,366,250
"145","HND",615,371,244
"146","ATG",578,373,205
"147","SWZ",567,266,301
"148","MNE",564,459,105
"149","COM",547,323,224
"150","ERI",538,305,233
"151","GRD",525,361,164
"152","SLV",519,279,240
"153","BWA",518,233,285
"154","LCA",478,358,120
"155","PRY",463,247,216
"156","SLB",459,235,224
"157","DJI",438,249,189
"158","COD",430,304,126
"159","TON",424,206,218
"160","MLI",331,256,75
"161","BEN",319,228,91
"162","RWA",297,168,129
"163","LBR",288,235,53
"164","GAB",287,172,115
"165","BLZ",277,146,131
"166","TGO",262,208,54
"167","NIC",243,123,120
"168","LIE",241,156,85
"169","BHS",240,123,117
"170","HTI",240,167,73
"171","BRB",231,107,124
"172","BFA",209,181,28
"173","GUY",197,117,80
"174","AND",194,110,84
"175","LSO",174,78,96
"176","AGO",169,121,48
"177","BDI",157,79,78
"178","MAC",132,63,69
"179","KIR",116,98,18
"180","WSM",113,52,61
"181","MHL",111,82,29
"182","MCO",103,59,44
"183","NRU",102,69,33
"184","COG",96,70,26
"185","NER",90,60,30
"186","CPV",84,44,40
"187","SMR",81,56,25
"188","VCT",75,47,28
"189","GNQ",62,35,27
"190","PLW",57,42,15
"191","STP",48,31,17
"192","VAT",34,32,2
"193","FSM",29,15,14
"194","GNB",26,23,3
"195","ZAR",23,11,12
"196","ISR",16,13,3
"197","TUV",14,7,7
"198","CAF",13,9,4
"199","IOT",10,3,7
"200","PRK",9,8,1
"201","SGS",7,5,2
"202","ATA",6,3,3
"203","AIA",4,3,1
"204","BMU",4,0,4
"205","GRL",4,2,2
"206","CCK",3,2,1
"207","MNP",3,2,1
"208","TCA",3,0,3
"209","ABW",2,0,2
"210","ANT",2,0,2
"211","GIB",2,0,2
"212","MYT",2,0,2
"213","NCL",2,2,0
"214","REU",2,1,1
"215","SHN",2,2,0
"216","TKL",2,2,0
"217","BVT",1,0,1
"218","COK",1,1,0
"219","GLP",1,1,0
"220","HMD",1,0,1
"221","PRI",1,0,1
"222","SPM",1,0,1
